"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.84625000000E+006, -6.23217229790E-003, +0.00000000000E+000
+3.90812500000E+006, -3.43840930410E-003, +0.00000000000E+000
+3.97000000000E+006, -5.19960141353E-003, +0.00000000000E+000
+4.03187500000E+006, -4.51704233744E-003, +0.00000000000E+000
+4.09375000000E+006, -6.62516980573E-003, +0.00000000000E+000
+4.15562500000E+006, -4.80518767969E-003, +0.00000000000E+000
+4.21750000000E+006, -5.40002817208E-003, +0.00000000000E+000
+4.27937500000E+006, -6.08773406882E-003, +0.00000000000E+000
+4.34125000000E+006, -6.42681893150E-003, +0.00000000000E+000
+4.40312500000E+006, -5.82522290185E-003, +0.00000000000E+000
+4.46500000000E+006, -5.23076802601E-003, +0.00000000000E+000
+4.52687500000E+006, -4.89817845386E-003, +0.00000000000E+000
+4.58875000000E+006, -6.12655122236E-003, +0.00000000000E+000
+4.65062500000E+006, -7.17529661608E-003, +0.00000000000E+000
+4.71250000000E+006, -5.76558284531E-003, +0.00000000000E+000
+4.77437500000E+006, -5.18903773641E-003, +0.00000000000E+000
+4.83625000000E+006, -6.45999339811E-003, +0.00000000000E+000
+4.89812500000E+006, -6.35014433575E-003, +0.00000000000E+000
+4.96000000000E+006, -5.65865780120E-003, +0.00000000000E+000
+5.02187500000E+006, -6.82986469015E-003, +0.00000000000E+000
+5.08375000000E+006, -8.14846142329E-003, +0.00000000000E+000
+5.14562500000E+006, -6.49774325934E-003, +0.00000000000E+000
+5.20750000000E+006, -6.13157125459E-003, +0.00000000000E+000
+5.26937500000E+006, -6.93116184247E-003, +0.00000000000E+000
+5.33125000000E+006, -7.10236477757E-003, +0.00000000000E+000
+5.39312500000E+006, -7.91446379510E-003, +0.00000000000E+000
+5.45500000000E+006, -6.99355413160E-003, +0.00000000000E+000
+5.51687500000E+006, -7.07853166990E-003, +0.00000000000E+000
+5.57875000000E+006, -6.76131065519E-003, +0.00000000000E+000
+5.64062500000E+006, -6.76313853134E-003, +0.00000000000E+000
+5.70250000000E+006, -6.92557587702E-003, +0.00000000000E+000
+5.76437500000E+006, -6.46912220410E-003, +0.00000000000E+000
+5.82625000000E+006, -5.80117340731E-003, +0.00000000000E+000
+5.88812500000E+006, -8.60813415325E-003, +0.00000000000E+000
+5.95000000000E+006, -8.59145224993E-003, +0.00000000000E+000
+6.01187500000E+006, -5.75999246472E-003, +0.00000000000E+000
+6.07375000000E+006, -4.95679621350E-003, +0.00000000000E+000
+6.13562500000E+006, -6.13435064247E-003, +0.00000000000E+000
+6.19750000000E+006, -7.47057676390E-003, +0.00000000000E+000
+6.25937500000E+006, -4.66639843989E-003, +0.00000000000E+000
+6.32125000000E+006, -5.71043705542E-003, +0.00000000000E+000
+6.38312500000E+006, -6.00042425159E-003, +0.00000000000E+000
+6.44500000000E+006, -6.66163965305E-003, +0.00000000000E+000
+6.50687500000E+006, -7.36868324302E-003, +0.00000000000E+000
+6.56875000000E+006, -5.95904820876E-003, +0.00000000000E+000
+6.63062500000E+006, -5.26090700647E-003, +0.00000000000E+000
+6.69250000000E+006, -6.55097585270E-003, +0.00000000000E+000
+6.75437500000E+006, -6.43511838614E-003, +0.00000000000E+000
+6.81625000000E+006, -6.05140643741E-003, +0.00000000000E+000
