freq	mag(K)
2.63999999999999970E7	3.57658062042956270E-2
2.64999999999999990E7	3.60578323502595490E-2
2.66000000000000010E7	3.63531960591771330E-2
2.66999999999999990E7	3.66522565178687200E-2
2.68000000000000020E7	3.69545517482551930E-2
2.68999999999999990E7	3.72596196852667560E-2
2.70000000000000020E7	3.75692171317922030E-2
2.71000000000000000E7	3.78816150447116140E-2
2.71999999999999980E7	3.81982375544851570E-2
2.73000000000000000E7	3.85180351377670370E-2
2.73999999999999980E7	3.88421982936851060E-2
2.75000000000000000E7	3.91704968498272970E-2
2.76000000000000020E7	3.95032850899051890E-2
2.77000000000000000E7	3.98388095878507630E-2
2.78000000000000020E7	4.01786349140974330E-2
2.79000000000000000E7	4.05235146915181590E-2
2.79999999999999980E7	4.08727690828980080E-2
2.81000000000000010E7	4.12253088910398890E-2
2.81999999999999980E7	4.15829527790504280E-2
2.83000000000000010E7	4.19441494558357420E-2
2.83999999999999990E7	4.23109954388115740E-2
2.85000000000000010E7	4.26822057546347540E-2
2.86000000000000030E7	4.30587627678243300E-2
2.87000000000000010E7	4.34404544366829540E-2
2.87999999999999990E7	4.38269968142450760E-2
2.88999999999999970E7	4.42182577175558400E-2
2.89999999999999990E7	4.46145949693644270E-2
2.91000000000000010E7	4.50162153805875940E-2
2.91999999999999990E7	4.54228031088386700E-2
2.93000000000000020E7	4.58337133755983570E-2
2.93999999999999990E7	4.62493167815299340E-2
2.95000000000000020E7	4.66711650780468630E-2
2.96000000000000000E7	4.70995378099538800E-2
2.96999999999999980E7	4.75339986483224490E-2
2.98000000000000000E7	4.79729805284792390E-2
2.98999999999999980E7	4.84189015820674040E-2
3.00000000000000000E7	4.88726833503683710E-2
3.01000000000000020E7	4.93310069348828510E-2
3.02000000000000000E7	4.97985105713528590E-2
3.03000000000000020E7	5.02756950826783640E-2
3.04000000000000000E7	5.07573507329863730E-2
3.04999999999999980E7	5.12465050968606390E-2
3.06000000000000010E7	5.17434591907522010E-2
3.06999999999999980E7	5.22488065838459280E-2
3.08000000000000010E7	5.27616936840616810E-2
3.08999999999999990E7	5.32822282618763050E-2
3.10000000000000010E7	5.38106370906619610E-2
3.11000000000000030E7	5.43480631241896890E-2
3.12000000000000010E7	5.48952582922513880E-2
3.12999999999999990E7	5.54491672809142600E-2
3.13999999999999970E7	5.60129696253529290E-2
3.14999999999999990E7	5.65853565575822780E-2
3.16000000000000010E7	5.71688111711745070E-2
3.16999999999999990E7	5.77608197035825730E-2
3.18000000000000020E7	5.83620524708515640E-2
3.18999999999999990E7	5.89755921394648300E-2
3.20000000000000020E7	5.96000837708972500E-2
3.21000000000000000E7	6.02378500190497590E-2
3.22000000000000020E7	6.08861423740183390E-2
3.22999999999999950E7	6.15452494617372640E-2
3.23999999999999980E7	6.22176682675825800E-2
3.25000000000000000E7	6.29020137783469830E-2
3.26000000000000020E7	6.35989467563882020E-2
3.27000000000000050E7	6.43073130946077500E-2
3.27999999999999980E7	6.50327235639264070E-2
3.29000000000000000E7	6.57720438699437790E-2
3.29999999999999980E7	6.65164075952004550E-2
3.31000000000000010E7	6.72778270336818630E-2
3.32000000000000030E7	6.80517344602974280E-2
3.32999999999999960E7	6.88448261914451190E-2
3.33999999999999990E7	6.96497728004632060E-2
3.35000000000000010E7	7.04730142065497490E-2
3.36000000000000030E7	7.13136154803966700E-2
3.37000000000000010E7	7.21689171359787810E-2
3.37999999999999990E7	7.30419250076143630E-2
3.38999999999999970E7	7.39379799749085900E-2
3.39999999999999990E7	7.48597554885095470E-2
3.41000000000000010E7	7.57975908659478930E-2
3.42000000000000040E7	7.67523337073320460E-2
3.42999999999999970E7	7.77355414440482660E-2
3.43999999999999990E7	7.87381706826213000E-2
3.45000000000000020E7	7.97664806951800460E-2
3.46000000000000000E7	8.08177449648273520E-2
3.47000000000000020E7	8.18895967155889790E-2
3.47999999999999950E7	8.29918382894949860E-2
3.48999999999999980E7	8.41212154837335290E-2
3.50000000000000000E7	8.52761647248049930E-2
3.51000000000000020E7	8.64601454625947240E-2
3.52000000000000050E7	8.76763573460643290E-2
3.52999999999999980E7	8.89222928073909640E-2
3.54000000000000000E7	9.02005555968796280E-2
3.54999999999999980E7	9.15082710244373490E-2
3.56000000000000010E7	9.28553290959943030E-2
3.57000000000000030E7	9.42350038929659210E-2
3.57999999999999960E7	9.56418600433333310E-2
3.58999999999999990E7	9.70949484233563710E-2
3.60000000000000010E7	9.85876146097780470E-2
3.61000000000000030E7	1.00120025386432010E-1
3.62000000000000010E7	1.01691689121502820E-1
3.62999999999999990E7	1.03303892745941430E-1
3.63999999999999970E7	1.04974299276709670E-1
3.64999999999999990E7	1.06694238379500890E-1
3.66000000000000010E7	1.08470727841843530E-1
3.67000000000000040E7	1.10280043484894530E-1
3.67999999999999970E7	1.12184375966129360E-1
3.68999999999999990E7	1.14139977808388540E-1
3.70000000000000020E7	1.16161466244810010E-1
3.71000000000000000E7	1.18230480778506800E-1
3.72000000000000020E7	1.20394688777547130E-1
3.72999999999999950E7	1.22625444147974050E-1
3.73999999999999980E7	1.24929339986803560E-1
3.75000000000000000E7	1.27317062333942000E-1
3.76000000000000020E7	1.29786269953633050E-1
3.77000000000000050E7	1.32344694994796090E-1
3.77999999999999980E7	1.34986880413115000E-1
3.79000000000000000E7	1.37731369625769930E-1
3.79999999999999980E7	1.40573887097486170E-1
3.81000000000000010E7	1.43546342129541200E-1
3.82000000000000030E7	1.46620955268907930E-1
3.82999999999999960E7	1.49833126752958460E-1
3.83999999999999990E7	1.53196492987990050E-1
3.85000000000000010E7	1.56679910039365340E-1
3.86000000000000030E7	1.60366388286388410E-1
3.87000000000000010E7	1.64230240510590160E-1
3.87999999999999990E7	1.68263644911773170E-1
3.88999999999999970E7	1.72488543299643340E-1
3.89999999999999990E7	1.76941915437687420E-1
3.91000000000000010E7	1.81608786702208390E-1
3.92000000000000040E7	1.86516190357493450E-1
3.92999999999999970E7	1.91708587525009260E-1
3.93999999999999990E7	1.97125753311793610E-1
3.95000000000000020E7	2.02907453807655620E-1
3.96000000000000000E7	2.08928712213514480E-1
3.97000000000000020E7	2.15396683413909160E-1
3.97999999999999950E7	2.22226224316521440E-1
3.98999999999999980E7	2.29473541028402690E-1
4.00000000000000000E7	2.37196356785956250E-1
4.00999999999999980E7	2.45447833740034050E-1
4.02000000000000050E7	2.54246649897748080E-1
4.02999999999999940E7	2.63665612648889040E-1
4.04000000000000000E7	2.73872690180447840E-1
4.04999999999999980E7	2.84678666991092520E-1
4.06000000000000050E7	2.96402685950045490E-1
4.07000000000000030E7	3.09026013318633150E-1
4.08000000000000010E7	3.22770279921567700E-1
4.08999999999999990E7	3.37842059214275730E-1
4.09999999999999960E7	3.54325511019111030E-1
4.11000000000000030E7	3.72279764359725320E-1
4.12000000000000010E7	3.92263262623096410E-1
4.12999999999999990E7	4.14332175604602340E-1
4.13999999999999970E7	4.39264296182020790E-1
4.15000000000000040E7	4.67218750500816250E-1
4.16000000000000010E7	4.98883852569806500E-1
4.16999999999999990E7	5.35155477074642950E-1
4.17999999999999970E7	5.76962033356883810E-1
4.18999999999999950E7	6.25645637269891890E-1
4.20000000000000020E7	6.82806445974337790E-1
4.21000000000000000E7	7.51154561876601790E-1
4.22000000000000060E7	8.35405305072684890E-1
4.22999999999999950E7	9.38196822342884570E-1
4.24000000000000020E7	1.06876578190993880E0
4.25000000000000000E7	1.23914504772316050E0
4.25999999999999980E7	1.46965059416631490E0
4.27000000000000050E7	1.79765775416041770E0
4.27999999999999940E7	2.26438338266747460E0
4.29000000000000000E7	2.94483703762083990E0
4.29999999999999980E7	3.73968914070444440E0
4.31000000000000050E7	4.00961249529880260E0
4.32000000000000030E7	3.35269659826081500E0
4.33000000000000010E7	2.56064775369256430E0
4.33999999999999990E7	2.00026768079878310E0
4.34999999999999960E7	1.61529596540355500E0
4.36000000000000030E7	1.34690065576208020E0
4.37000000000000010E7	1.14966945096144650E0
4.37999999999999990E7	1.00197755202922960E0
4.38999999999999970E7	8.85471728208709590E-1
4.40000000000000040E7	7.95697774788644630E-1
4.41000000000000010E7	7.20988708418117150E-1
4.41999999999999990E7	6.58638282238270460E-1
4.42999999999999970E7	6.06563542810204300E-1
4.43999999999999950E7	5.62120164213286520E-1
4.45000000000000020E7	5.23832266261613460E-1
4.46000000000000000E7	4.89883776625817640E-1
4.47000000000000060E7	4.60347841971303760E-1
4.47999999999999950E7	4.34265820307037220E-1
4.49000000000000020E7	4.10826937554880530E-1
4.50000000000000000E7	3.89811826787748930E-1
4.50999999999999980E7	3.71049192264219220E-1
4.52000000000000050E7	3.54309071887657190E-1
4.52999999999999940E7	3.38909364715611130E-1
4.54000000000000000E7	3.24759732749515310E-1
4.54999999999999980E7	3.11932448024679630E-1
4.56000000000000050E7	2.99987540780914590E-1
4.57000000000000030E7	2.88981495356209320E-1
4.58000000000000010E7	2.78721362666470450E-1
4.58999999999999990E7	2.69151611366486950E-1
4.59999999999999960E7	2.60328535503349110E-1
4.61000000000000030E7	2.51965945845303410E-1
4.62000000000000010E7	2.44120386068423300E-1
4.62999999999999990E7	2.36764446922998180E-1
4.63999999999999970E7	2.29889339170663610E-1
4.65000000000000040E7	2.23340301039328050E-1
4.66000000000000010E7	2.17208840904141990E-1
4.66999999999999990E7	2.11362022070804520E-1
4.67999999999999970E7	2.05900835954730120E-1
4.68999999999999950E7	2.00507825907337270E-1
4.70000000000000020E7	1.95542251210131710E-1
4.71000000000000000E7	1.90763422349213060E-1
4.72000000000000060E7	1.86215043000064280E-1
4.72999999999999950E7	1.81848270720585070E-1
4.74000000000000020E7	1.77705073275711230E-1
4.75000000000000000E7	1.73758726682891500E-1
4.75999999999999980E7	1.69971895695323250E-1
4.77000000000000050E7	1.66328626338528070E-1
4.77999999999999940E7	1.62862435485381640E-1
4.79000000000000000E7	1.59537740986147150E-1
4.79999999999999980E7	1.56384395308053750E-1
4.81000000000000050E7	1.53370523313687500E-1
4.82000000000000030E7	1.50456113832593810E-1
4.83000000000000010E7	1.47652723787456550E-1
4.83999999999999990E7	1.44971796036373270E-1
4.84999999999999960E7	1.42374352905267880E-1
4.86000000000000030E7	1.39854103969905230E-1
4.87000000000000010E7	1.37446208300326390E-1
4.87999999999999990E7	1.35127796044665490E-1
4.88999999999999970E7	1.32890712406649960E-1
4.90000000000000040E7	1.30751136965990700E-1
4.91000000000000010E7	1.28666347476896540E-1
4.91999999999999990E7	1.26644368073333680E-1
4.92999999999999970E7	1.24693329752358780E-1
4.93999999999999950E7	1.22773439529700410E-1
4.95000000000000020E7	1.20953817291090850E-1
4.96000000000000000E7	1.19181480108657080E-1
4.97000000000000060E7	1.17427539765769760E-1
4.97999999999999950E7	1.15751745884031410E-1
4.99000000000000020E7	1.14113876690643060E-1
5.00000000000000000E7	1.12513577521065630E-1
5.00999999999999980E7	1.11934867238799930E-1
5.02000000000000050E7	1.11364342635423390E-1
5.02999999999999940E7	1.10801831252825300E-1
5.04000000000000000E7	1.10247165442441820E-1
5.04999999999999980E7	1.09700182198791380E-1
5.06000000000000050E7	1.09160722999875940E-1
5.07000000000000030E7	1.08628633654118480E-1
5.08000000000000010E7	1.08103764153527470E-1
5.08999999999999990E7	1.07585968532794300E-1
5.09999999999999960E7	1.07075104734046040E-1
5.11000000000000030E7	1.06571034476991060E-1
5.12000000000000010E7	1.06073623134207230E-1
5.12999999999999990E7	1.05582739611337660E-1
5.13999999999999970E7	1.05098256231970400E-1
5.15000000000000040E7	1.04620048626988300E-1
5.16000000000000010E7	1.04147995628190020E-1
5.16999999999999990E7	1.03681979165989140E-1
5.17999999999999970E7	1.03221884171011790E-1
