freq	mag(K)
3.82999999999999960E7	4.94342623172984560E-1
3.83999999999999990E7	5.03176254016052300E-1
3.85000000000000010E7	5.12172748538077730E-1
3.86000000000000030E7	5.21673355489078360E-1
3.87000000000000010E7	5.31421054246111080E-1
3.87999999999999990E7	5.41356431797129470E-1
3.88999999999999970E7	5.51546772161441100E-1
3.89999999999999990E7	5.62204481637613270E-1
3.91000000000000010E7	5.73154471802435950E-1
3.92000000000000040E7	5.84322409647818470E-1
3.92999999999999970E7	5.95855060627440110E-1
3.93999999999999990E7	6.07725872396677150E-1
3.95000000000000020E7	6.20088258835250890E-1
3.96000000000000000E7	6.32591058637453860E-1
3.97000000000000020E7	6.45611811337266510E-1
3.97999999999999950E7	6.59074797393765180E-1
3.98999999999999980E7	6.72880711249474040E-1
4.00000000000000000E7	6.87015923472626970E-1
4.00999999999999980E7	7.01438547095854050E-1
4.02000000000000050E7	7.16383047397047080E-1
4.02999999999999940E7	7.31773667516282880E-1
4.04000000000000000E7	7.47479070039507660E-1
4.04999999999999980E7	7.63049887999978170E-1
4.06000000000000050E7	7.79203429756413790E-1
4.07000000000000030E7	7.95791941274433510E-1
4.08000000000000010E7	8.12408689569886990E-1
4.08999999999999990E7	8.29184123810900080E-1
4.09999999999999960E7	8.46553619837836280E-1
4.11000000000000030E7	8.63943342936894610E-1
4.12000000000000010E7	8.81391146400346060E-1
4.12999999999999990E7	8.98463063359247020E-1
4.13999999999999970E7	9.16299624671906800E-1
4.15000000000000040E7	9.34282763815033770E-1
4.16000000000000010E7	9.51564624295956740E-1
4.16999999999999990E7	9.68578985754330550E-1
4.17999999999999970E7	9.85535021479968170E-1
4.18999999999999950E7	1.00247117010128100E0
4.20000000000000020E7	1.01779310878868670E0
4.21000000000000000E7	1.03254283303195220E0
4.22000000000000060E7	1.04691839923832800E0
4.22999999999999950E7	1.06022576163177870E0
4.24000000000000020E7	1.07163808272950070E0
4.25000000000000000E7	1.08104250813070470E0
4.25999999999999980E7	1.08989021864921120E0
4.27000000000000050E7	1.09784989792888690E0
4.27999999999999940E7	1.10301908885284130E0
4.29000000000000000E7	1.10626035120714920E0
4.29999999999999980E7	1.10827076797361790E0
4.31000000000000050E7	1.10893184915531640E0
4.32000000000000030E7	1.10745016744091140E0
4.33000000000000010E7	1.10333927200413020E0
4.33999999999999990E7	1.09895735188271910E0
4.34999999999999960E7	1.09250660162220450E0
4.36000000000000030E7	1.08452075569736570E0
4.37000000000000010E7	1.07412883706662290E0
4.37999999999999990E7	1.06361392551310500E0
4.38999999999999970E7	1.05192548838675350E0
4.40000000000000040E7	1.03925044409862650E0
4.41000000000000010E7	1.02471157757257060E0
